% Model,SiGratingSlab80.mph
% Version,COMSOL 5.4.0.388
% Date,"Aug 17 2026, 16:22"
% Table,"Table 6 - Global Evaluation 2 (freq, real(freq)/(2*abs(imag(freq))))"
% U (rad),lambda (THz),Frequency (1/s),Q (1)
0.006108652381980154,0.9830665689484994+0.090698777439004i,9.830665689484994E11+9.0698777439004E10i,5.419403638652259
0.006108652381980154,1.2258214806618002+0.004179862462597766i,1.2258214806618003E12+4.1798624625977664E9i,146.63418852063825
0.006108652381980154,1.237747106964317+3.6546484293155824E-4i,1.237747106964317E12+3.6546484293155825E8i,1693.3873817188398
0.006108652381980154,1.2479226967868406+0.40000968261256487i,1.2479226967868406E12+4.000096826125649E11i,1.559865612047614
0.006108652381980154,1.2575407125728773+0.48607236607989973i,1.2575407125728772E12+4.860723660798997E11i,1.2935735502871242
0.006108652381980154,1.48714998707134+0.08028212828416029i,1.48714998707134E12+8.02821282841603E10i,9.262023932696087
0.006108652381980154,1.6263023758015223+9.567879013532284E-5i,1.6263023758015222E12+9.567879013532284E7i,8498.761185741214
0.006108652381980154,1.6746974481327548+0.024905894924016264i,1.674697448132755E12+2.4905894924016266E10i,33.62050336360082
0.006108652381980154,1.8987577784369134+0.08581436647546072i,1.8987577784369133E12+8.581436647546072E10i,11.063169585828485
0.006108652381980154,2.032408647356388+2.874403251181172E-6i,2.0324086473563877E12+2874403.2511811717i,353535.7550338866
0.006108652381980154,2.1835768526128523+0.017498726495476093i,2.1835768526128525E12+1.7498726495476093E10i,62.39245047853533
0.006108652381980154,2.2539441296837484+9.02862954812516E-7i,2.2539441296837485E12+902862.954812516i,1248220.5176708084
0.006108652381980154,2.293952381132048+1.0364049690839382E-5i,2.2939523811320483E12+1.0364049690839382E7i,110668.7274550428
0.006108652381980154,2.300694395408623+1.0487300212540835E-5i,2.300694395408623E12+1.0487300212540835E7i,109689.5458688894
0.006108652381980154,2.435087552569443+0.08428399282389815i,2.435087552569443E12+8.428399282389815E10i,14.445729675249739
0.006108652381980154,2.545169259354206+1.6520026690294297E-5i,2.545169259354206E12+1.6520026690294296E7i,77032.84344115261
0.006108652381980154,2.595776902500736+0.005224030284839472i,2.595776902500736E12+5.224030284839472E9i,248.44581299938818
0.006108652381980154,2.6566954464786363+1.3915195347448432E-5i,2.656695446478636E12+1.3915195347448433E7i,95460.2281945608
0.006108652381980154,2.706962022324605+0.03437939816289851i,2.706962022324605E12+3.437939816289851E10i,39.3689559296285
0.006981317007977318,0.5874010287535512+0.06123560059728577i,5.874010287535511E11+6.1235600597285774E10i,4.796237997374907
0.006981317007977318,0.9830707700675695+0.09069318635733153i,9.830707700675695E11+9.069318635733154E10i,5.419760896889577
0.006981317007977318,1.2255564092454865+0.004093997416661074i,1.2255564092454866E12+4.093997416661074E9i,149.6772328504556
0.006981317007977318,1.238012099521064+4.515339083899893E-4i,1.238012099521064E12+4.515339083899893E8i,1370.896046251962
0.006981317007977318,1.2479376218606342+0.40000595845165265i,1.2479376218606343E12+4.0000595845165265E11i,1.5598987908719717
0.006981317007977318,1.2575568622438242+0.48606798019592945i,1.2575568622438242E12+4.8606798019592944E11i,1.2936018350117557
0.006981317007977318,1.4871461480570147+0.08027627998438915i,1.4871461480570146E12+8.027627998438914E10i,9.26267477981174
0.006981317007977318,1.6262788699697386+1.2485398463293383E-4i,1.6262788699697385E12+1.2485398463293383E8i,6512.723141159408
0.006981317007977318,1.6747249588811848+0.024881888594800276i,1.6747249588811848E12+2.4881888594800278E10i,33.65349363454594
0.006981317007977318,1.8987556899970297+0.08581346233191955i,1.8987556899970298E12+8.581346233191956E10i,11.063273980560275
0.006981317007977318,2.0324011946461344+3.734845877104482E-6i,2.0324011946461345E12+3734845.877104482i,272086.35396513285
0.006981317007977318,2.183572570771176+0.017500918270720575i,2.183572570771176E12+1.7500918270720577E10i,62.384514257870144
0.006981317007977318,2.2539463620919538+1.1804637422974968E-6i,2.2539463620919536E12+1180463.7422974969i,954686.8240549149
0.006981317007977318,2.2934731929427166+1.0444769598253911E-5i,2.293473192942717E12+1.0444769598253911E7i,109790.51147888052
0.006981317007977318,2.3011774312688034+1.0441729589223924E-5i,2.301177431268803E12+1.0441729589223925E7i,110191.39174240179
0.006981317007977318,2.435086933349949+0.08428087581654475i,2.435086933349949E12+8.428087581654475E10i,14.446260256303184
0.006981317007977318,2.545132680478206+2.1623789208751495E-5i,2.545132680478206E12+2.1623789208751496E7i,58850.29344089587
0.006981317007977318,2.595797100332482+0.005218432338734924i,2.595797100332482E12+5.218432338734924E9i,248.7142624294106
0.006981317007977318,2.6567101015397045+1.8394355213812425E-5i,2.6567101015397046E12+1.8394355213812426E7i,72215.36364440668
0.006981317007977318,2.706965024974278+0.03437782462183739i,2.7069650249742783E12+3.437782462183739E10i,39.37080159596206
0.007853981633974483,0.5874124953870504+0.06122942287622215i,5.874124953870504E11+6.122942287622215E10i,4.796815548747939
0.007853981633974483,0.9830755314618103+0.09068685018677383i,9.830755314618103E11+9.068685018677383E10i,5.4201658202767
0.007853981633974483,1.225264788988227+0.004007457561992895i,1.225264788988227E12+4.0074575619928946E9i,152.8730834992183
0.007853981633974483,1.2383036304184545+5.383050399533634E-4i,1.2383036304184546E12+5.383050399533634E8i,1150.1876617444789
0.007853981633974483,1.2479545367565235+0.40000173755590335i,1.2479545367565234E12+4.000017375559034E11i,1.5599363947539253
0.007853981633974483,1.257575164789938+0.4860630097402207i,1.257575164789938E12+4.860630097402207E11i,1.2936338906575677
0.007853981633974483,1.4871417964180176+0.08026965130079665i,1.4871417964180176E12+8.026965130079665E10i,9.263412586939058
0.007853981633974483,1.6262522040340524+1.5786768628769178E-4i,1.6262522040340525E12+1.5786768628769177E8i,5150.681061703898
0.007853981633974483,1.6747561643414264+0.0248547334667786i,1.6747561643414265E12+2.48547334667786E10i,33.69088963637336
0.007853981633974483,1.898753322992533+0.08581243757612043i,1.8987533229925332E12+8.581243757612044E10i,11.063392304339523
0.007853981633974483,2.0323927493305045+4.710084588313183E-6i,2.0323927493305046E12+4710084.588313184i,215749.07108604207
0.007853981633974483,2.1835677170805856+0.017503401894250186i,2.1835677170805854E12+1.7503401894250187E10i,62.375523634576446
0.007853981633974483,2.2539488745049048+1.494992629116231E-6i,2.253948874504905E12+1494992.629116231i,753832.7716830727
0.007853981633974483,2.292994313984695+1.0521609459185377E-5i,2.292994313984695E12+1.0521609459185377E7i,108965.9487400432
0.007853981633974483,2.301660688737652+1.0404970842029977E-5i,2.301660688737652E12+1.0404970842029978E7i,110603.8990248917
0.007853981633974483,2.4350862316898993+0.08427734313766615i,2.4350862316898994E12+8.427734313766615E10i,14.446861641759469
0.007853981633974483,2.5450912714351053+2.738963768093119E-5i,2.5450912714351055E12+2.7389637680931192E7i,46460.84225508049
0.007853981633974483,2.5958199414540006+0.005212108438805191i,2.5958199414540005E12+5.212108438805191E9i,249.01822093028622
0.007853981633974483,2.656726713724663+2.3469353198553353E-5i,2.656726713724663E12+2.3469353198553354E7i,56599.91332629532
0.007853981633974483,2.7069684273830688+0.03437604078651126i,2.706968427383069E12+3.437604078651126E10i,39.37289410660186
0.008726646259971648,0.5874253106414421+0.06122251914413455i,5.874253106414421E11+6.122251914413455E10i,4.797461120951936
0.008726646259971648,0.9830808531783632+0.09067976907307837i,9.830808531783633E11+9.067976907307837E10i,5.4206184203342165
0.008726646259971648,1.224949556071599+0.003922047945560848i,1.224949556071599E12+3.9220479455608478E9i,156.16198132636964
0.008726646259971648,1.2386187634803354+6.239732111894933E-4i,1.2386187634803354E12+6.239732111894933E8i,992.5255934618815
0.008726646259971648,1.247973441404236+0.3999970198578199i,1.247973441404236E12+3.999970198578199E11i,1.5599784241490497
0.008726646259971648,1.2575956200558625+0.4860574547925309i,1.2575956200558625E12+4.860574547925309E11i,1.2936697170838123
0.008726646259971648,1.487136931870417+0.08026224200452027i,1.487136931870417E12+8.026224200452028E10i,9.264237421792075
0.008726646259971648,1.6262223685788209+1.9470051702740948E-4i,1.6262223685788208E12+1.947005170274095E8i,4176.214818037399
0.008726646259971648,1.6747910741616254+0.024824449115269126i,1.6747910741616255E12+2.4824449115269127E10i,33.73269365182988
0.008726646259971648,1.8987506773836882+0.0858112921856497i,1.8987506773836882E12+8.58112921856497E10i,11.063524560822415
0.008726646259971648,2.0323833118176666+5.800145787417773E-6i,2.0323833118176667E12+5800145.787417773i,175201.0541033732
0.008726646259971648,2.1835622911906216+0.017506177220441406i,2.1835622911906218E12+1.7506177220441406E10i,62.36548001584679
0.008726646259971648,2.2539516601613268+1.8464151936051739E-6i,2.2539516601613267E12+1846415.1936051738i,610358.8369418763
0.008726646259971648,2.2925157660678934+1.0596902596316257E-5i,2.2925157660678936E12+1.0596902596316257E7i,108169.14401312078
0.008726646259971648,2.302144152828877+1.0374785032733077E-5i,2.302144152828877E12+1.0374785032733077E7i,110949.00499458409
0.008726646259971648,2.435085447635077+0.08427339476071449i,2.435085447635077E12+8.42733947607145E10i,14.447533854244558
0.008726646259971648,2.5450450496517236+3.381081939823761E-5i,2.5450450496517236E12+3.3810819398237616E7i,37636.54792974913
0.008726646259971648,2.5958454074218174+0.005205066098685576i,2.5958454074218174E12+5.2050660986855755E9i,249.35758338182688
0.008726646259971648,2.656745284192883+2.9139667759690292E-5i,2.656745284192883E12+2.9139667759690292E7i,45586.403148151745
0.008726646259971648,2.7069722293272203+0.034374046470715014i,2.70697222932722E12+3.437404647071501E10i,39.375233748424506
0.009599310885968814,0.5874394743849564+0.061214889660680755i,5.874394743849564E11+6.1214889660680756E10i,4.798174738541411
0.009599310885968814,0.9830867352698888+0.09067194317911993i,9.830867352698888E11+9.067194317911993E10i,5.421118709940008
0.009599310885968814,1.2246135754043275+0.0038390909275376754i,1.2246135754043274E12+3.8390909275376754E9i,159.49265054133176
0.009599310885968814,1.2389546338039865+7.07216084956534E-4i,1.2389546338039866E12+7.07216084956534E8i,875.9378216631862
0.009599310885968814,1.2479943357251646+0.3999918052820801i,1.2479943357251646E12+3.9999180528208014E11i,1.5600248795660456
0.009599310885968814,1.2576182278679946+0.4860513154419698i,1.2576182278679946E12+4.860513154419698E11i,1.2937093141332554
0.009599310885968814,1.4871315540966785+0.08025405183986589i,1.4871315540966785E12+8.025405183986589E10i,9.265149360084719
